,id,tipo,nombre,latitud,longitud,elevacion,iso_region,Ciudad,score
714,318247,small_airport,Agroservicios Airport,-33.2723,-60.5707,144.0,AR-S,Coronel Bogado,0
715,318248,small_airport,Alfomso Mengo Airport,-32.024440000000006,-64.27944000000001,1781.0,AR-X,Corralito,0
716,318249,small_airport,Lomas del Espinillo Airport,-32.08806,-64.16972,1441.0,AR-X,Corralito,0
717,321740,small_airport,Don Moises Airport,-32.039621999999994,-64.19282700000001,1604.0,AR-X,Corralito,0
718,318250,small_airport,Ita Ibate Airport,-27.44833,-57.42224100000001,223.0,AR-W,Corrientes,0
719,321711,small_airport,Cañada Quiroz Airport,-27.5497,-58.7175,180.0,AR-W,Corrientes,0
720,318945,small_airport,Coy Aike Airport,-51.162246,-69.487675,,AR-Z,Coy Aike,0
721,323148,small_airport,Dique Florentino Ameghino Airport,-43.674928,-66.493948,,AR-U,Dique Florentino Ameghino,0
722,318251,small_airport,Estancia San Rafael Airport,-25.043470000000003,-58.5915,288.0,AR-P,El Espinillo,0
723,327561,small_airport,El Sauzalito Airport,-24.443851000000002,-61.68824,558.0,AR-H,El Sauzalito,0
724,318252,small_airport,Bernardo's Airport,-32.2506,-61.6519,290.0,AR-S,El Trébol,0
725,318253,small_airport,Salvita Airport,-23.2128,-64.0339,928.0,AR-A,Embarcación,0
726,321678,small_airport,San Hilario Airport,-25.86448,-58.672887,236.0,AR-P,Estancia Alegria,0
727,314776,small_airport,Estancia Cullen South Airport,-52.9435,-68.4021,120.0,AR-V,Estancia Cullen,0
728,314780,small_airport,Los Robles Airport,-54.068999999999996,-67.6536,102.0,AR-V,Estancia El Roble,0
729,327586,small_airport,Itá Caabó Airport,-29.29287,-57.727213,262.0,AR-W,Estancia Itá Caabó,0
730,314777,small_airport,Sara Airport,-53.431999999999995,-68.167,52.0,AR-V,Estancia Sara,0
731,327647,small_airport,Traill Southeast Airport,-31.922586,-61.692139000000005,249.0,AR-S,Estancia Traill Sureste,0
732,323144,small_airport,Fitz Roy Airport,-47.021639,-67.241585,,AR-Z,Fitz Roy,0
733,45154,heliport,Colonia La Capilla Heliport,-34.9167,-58.2508,82.0,AR-B,Florencio Varela,0
734,321675,small_airport,Fortin Cabo Lugones Airport,-24.300451000000002,-59.830954000000006,,AR-P,Fortin Cabo Lugones,0
735,318254,small_airport,El Desafio,-23.2426,-63.323,800.0,AR-A,Fortin Dragones,0
736,327624,small_airport,Cabaña Los Gatos Airport,-27.142412,-61.764272,548.0,AR-G,Gancedo,0
737,298878,small_airport,Agroaire Airport,-27.476346000000003,-61.624433999999994,330.0,AR-H,Gancedo,0
738,318255,small_airport,Finca La Hercilia Airport,-22.6147,-63.662758999999994,1227.0,AR-A,General Mosconi,0
739,327611,small_airport,Estancia Trebolares Airport,-35.636734000000004,-63.498798,377.0,AR-L,General Pico,0
740,318256,small_airport,Kalbermatter Airport,-27.260279999999998,-61.47444,331.0,AR-H,General Pinedo,0
741,318257,small_airport,El Potrero,-32.97472,-58.253890000000006,88.0,AR-E,Gualeguaychu,0
742,324544,small_airport,Guardia Mitre Airstrip,-40.418091,-63.663346999999995,,AR-R,Guardia Mitre,0
743,321754,small_airport,Estancia Santa Elisa Airport,-29.304436,-56.88134300000001,206.0,AR-N,Guaviravi,0
744,321755,small_airport,Hernando Airport,-32.337145,-63.685178,925.0,AR-X,Hernando,0
